What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
United States of America,Pennsylvania,30-34,41070,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$10,001 - $25,000",Web Platform,,JavaScript,CSS,PHP,Python,,,,,C++,C,,HTML5,,NASM,Linux,Love my job,Rather not say,Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,Netbook,,Xbox,Wii,Other gaming system,,,Other tablet,,">$3,000",Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Careers 2.0  AT&T Developer Summit,100,Stack Overflow,
Canada,,30-34,40944,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,,Python,,,SQL,,,,,,,,Mac OS X,Its a paycheck,Rather not say,Yes,Yes,,,iPhone,,,,,,,,AppleTV,,,,,,Wii,,,,,,">$3,000",Agree,Agree,Neutral,Agree,Disagree,Disagree,"Survey gopher, some open source ads",1000,Stack Overflow,
India,,20-24,<2,Gaming,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,,Windows XP,I'm not happy in my job,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Stack Overflow,
India,,25-29,41070,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Indiana,30-34,41070,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,30-34,41070,Finance / Banking,Mid Sized (100-999),Database Administrator,Influencer,Recommender,,,,No Involvement,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,Other,Don't know,Other,,,,,,,,SQL,,C++,C,Perl,,,VB.NET,Windows XP,I enjoy going to work,"$40,000 - $60,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,Netbook,,,,Other gaming system,,iPad,,,"$1,001-$2,000",Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Dev Express  code free sql,Don't have an account,Stack Overflow,
Other Asia,,25-29,41070,Other,Mature Small Business (25-100),Server Programmer,,,,,,No Involvement,,,,,,,,,Mobile,Java,JavaScript,,,Python,,Ruby,SQL,,C++,C,,,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America (Other),,20-24,40944,Foundation / Non-Profit,Student,Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,JavaScript,,PHP,Python,Objective-C,,,,,,,,,,Mac OS X,Its a paycheck,Student / Unemployed,Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,,Kindle,,,,,,,Xbox,,,,,,,$100-$250,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Just StackOverflow stuff and that logging aggregation program that is advertised all over the place.. some cutesy-ass name that I can't remember.,1000,Stack Overflow,
Australia,,< 20,40944,Software Products,Mid Sized (100-999),Desktop Application Developer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Enterprise,,JavaScript,CSS,PHP,Python,Objective-C,,SQL,,C++,,,HTML5,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,Xbox,,,,,,,">$3,000",Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,,1,Stack Overflow,
United States of America,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,35-39,11,Manufacturing,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",Enterprise,,,,,Python,,,,,,C,,,,,Linux,Love my job,">$140,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,Kindle,,AppleTV,,,,,Xbox,Wii,,,iPad,,,">$3,000",Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,StackOverflow Careers,1000,Stack Overflow,
United States of America,Pennsylvania,< 20,40944,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,,,,Python,,,,C#,,,,,,,Mac OS X,Love my job,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,,,,Netbook,,Xbox,,,,iPad,,,"$2,001-$3,000",Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,,50,Stack Overflow,
Other Asia,,20-24,<2,Web Services,Start Up (1-25),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,Check Writer,,,,Servers,Software,,,,"<$10,000",Mobile,,,,,,Objective-C,Ruby,,,,,,,,,Mac OS X,Love my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,,,,,Wii,,,iPad,,,">$3,000",Neutral,Agree,Agree,Agree,Disagree,Disagree,Career 2.0,1,Stack Overflow,
Other Asia,,20-24,<2,Software Products,Mature Small Business (25-100),Desktop Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Other,Java,,,,,,,SQL,C#,C++,C,,,,Action Script (Flex dev),Windows 7,I'm not happy in my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,Kindle,,,,,,,,,,,,,,$251-$500,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Air push SDK.,1,Stack Overflow,
India,,25-29,40944,Software Products,"Fortune 1000 (1,000+)",Server Programmer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,,,,Perl,,,Bash,Windows XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,California,20-24,40944,Advertising,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,,,Python,,,,C#,,C,,,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,plastic scm,2000,Stack Overflow,
United States of America,New York,< 20,<2,Other,Student,Student,,,,,,No Involvement,,,,,,,,,None / Unemployed,Java,JavaScript,,,,,,,,,,,,,,Windows 7,I wish I had a job!,Student / Unemployed,Yes,No thank you,Don't have anything cool to put on a profile,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,,200,Stack Overflow,
Other Europe,,20-24,41070,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,,,,,,Mac OS X,Love my job,Rather not say,No,No thank you,Don't have anything cool to put on a profile,,iPhone,Android,,,,,Kindle,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,2000,Stack Overflow,
Australasia,,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,"<$10,000",SaaS,Java,,CSS,,,,,SQL,C#,,,,HTML5,,,Other,I enjoy going to work,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
United States of America,California,20-24,40944,Other,Mid Sized (100-999),Systems Analyst,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,CSS,PHP,,,,SQL,,C++,,Perl,,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,Blackberry,,,,,,AppleTV,,,,PS3,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,100,Stack Overflow,
Other Asia,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Mobile,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,,Windows 7,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,none...lol,50,Stack Overflow,
United States of America,California,30-34,11,Web Services,Mature Small Business (25-100),IT Staff / System Administrator,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,Don't know,Web Platform,,,,PHP,,,,,,,,Perl,,,,Mac OS X,Love my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,,,,,,Other media streaming device,Netbook,,,,,,iPad,,,$251-$500,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Splunk?,100,Server Fault,
United States of America,Illinois,20-24,41070,Other,"Fortune 1000 (1,000+)",Server Programmer,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,"$41,000 - $75,000",Enterprise,Java,JavaScript,CSS,,Python,Objective-C,,SQL,C#,,,,,,,Windows XP,Its a paycheck,Rather not say,No,No thank you,Didn't know about Careers before you asked,,iPhone,Android,,,,Regular Mobile Phone,,,,,,Netbook,,,,,,,,,$251-$500,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,,Don't have an account,Stack Overflow,
United States of America,Pennsylvania,40-50,11,Software Products,Start Up (1-25),IT Manager,,,Approver,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,,,,,,,,C#,C++,C,,,,,Windows 7,I enjoy going to work,"$100,000 - $120,000",Yes,No thank you,Didn't know about Careers before you asked,,iPhone,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Other Europe,,30-34,41070,Consulting,Mature Small Business (25-100),Server Programmer,Influencer,Recommender,,,,,,Hardware,,Software,,,,"<$10,000",Web Platform,Java,JavaScript,,PHP,,,,SQL,C#,,,,,,,Windows 7,I'm not happy in my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,,Kindle,,,,,,PS3,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,500,Stack Overflow,
Other Asia,,< 20,<2,Other,Student,Student,,,,,,No Involvement,,,,,,,,,None / Unemployed,,,,,,,,,,C++,,,,,,Windows 7,I wish I had a job!,Student / Unemployed,No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,- server problem ads(don't remember name)  - stackexchange.com  - hire programmer ad  - and some other I'm not really remember.,1,Stack Overflow,
United States of America,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,41070,Advertising,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,,,,,,PS3,,Wii,Other gaming system,,,,,"$2,001-$3,000",Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,OpenTTD,2000,Stack Overflow,
Australasia,,35-39,11,Software Products,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,,,,,,,C#,,,,,,Delphi,Mac OS X,I enjoy going to work,"$80,000 - $100,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,AppleTV,,,,PS3,,,Other gaming system,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
United States of America,New Jersey,51-60,11,Software Products,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",SaaS,,,,,Python,,,SQL,,,C,,HTML5,,Omnis Studio,Mac OS X,Love my job,"$100,000 - $120,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,Other Smart Phone,,,,,,Other media streaming device,,,,,,,,,Custom-built HTPC/NAS,"$501-$1,000",Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Joyent,50,Stack Overflow,
United Kingdom,,20-24,41070,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,California,25-29,41070,Advertising,Mid Sized (100-999),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,,Approver,,Check Writer,,,,,Software,,Consultants,,"$10,001 - $25,000",Enterprise,Java,JavaScript,,,Python,Objective-C,,SQL,C#,,,,,,,Windows 7,Its a paycheck,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,Kindle,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Adobe,Don't have an account,Stack Overflow,
United States of America,Washington,30-34,11,Software Products,Start Up (1-25),Other,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",Mobile,Java,JavaScript,,,Python,,,SQL,C#,C++,C,,,,,Mac OS X,I enjoy going to work,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,,,Xbox,Wii,Other gaming system,,iPad,,,"$2,001-$3,000",Agree,Neutral,Disagree,Agree,Neutral,Disagree,,5000,Stack Overflow,
Canada,,25-29,40944,Software Products,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,None / Unemployed,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Windows 7,I wish I had a job!,,Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,,200,Stack Overflow,
United States of America,California,30-34,41070,Healthcare,Mid Sized (100-999),Server Programmer,,Recommender,,,,,,,,Software,,,,"$10,001 - $25,000",Web Platform,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,Its a paycheck,"$80,000 - $100,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,,,,,,,,,,,,Kindle Fire,,,,$100-$250,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,careers 2.0,Don't have an account,Stack Overflow,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,25-29,<2,Foundation / Non-Profit,Student,Student,,,,,,No Involvement,,,,,,,,,Other,,,,,Python,,,,,C++,C,,,,,Linux,Love my job,"<$20,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,Don't have an account,Other Stack Exchange (please specify),TeX
United States of America,Texas,20-24,<2,Consulting,"Fortune 1000 (1,000+)",Desktop Application Developer,,Recommender,,,,,,Hardware,,,,,,"$41,000 - $75,000",Enterprise,Java,,,,,Objective-C,,,C#,,,,,,,Windows 7,Its a paycheck,"$80,000 - $100,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,Windows Phone,,Regular Mobile Phone,,,,,,,,,,,,,,,"$1,001-$2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,200,Super User,
United States of America,Illinois,30-34,11,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,Influencer,,,,,,,,,,,,Other,Don't know,Web Platform,Java,JavaScript,,,,,,,,,C,Perl,,,,Linux,Its a paycheck,"$80,000 - $100,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,Kindle,Nook,,,Other media streaming device,,,,,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Don't recall,1,Stack Overflow,
United States of America,Massachusetts,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,SaaS,,JavaScript,CSS,PHP,,,Ruby,,C#,,,,HTML5,,,Mac OS X,I enjoy going to work,Rather not say,Yes,No thank you,Didn't know about Careers before you asked,,iPhone,,,,,,Kindle,,,,Other media streaming device,Netbook,PS3,Xbox,Wii,,,iPad,,,">$3,000",,,,,,,,,,
United States of America,Illinois,30-34,41070,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Linux,Love my job,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,,PS3,,,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Stack Careers,50,Server Fault,
South America,,25-29,41070,Healthcare,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,"$100,001 - $150,000",Web Platform,,,,PHP,,,,,,C++,C,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,Blackberry,,,,,,,,,Netbook,PS3,Xbox,,,,,Other tablet,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,200,Stack Overflow,
United States of America,New York,40-50,40944,Advertising,"Fortune 1000 (1,000+)",I don't work in tech,Influencer,,,,,,,,,Software,,,,Don't know,Mobile,,JavaScript,CSS,PHP,,Objective-C,,,,,,,HTML5,,,Mac OS X,Hate my job,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,Blackberry,,,,,,AppleTV,,,,,,Wii,,,,,,">$3,000",Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,"Mostly StackOverflow ads, but also Peer1 Hosting",1,Stack Overflow,
Other Europe,,25-29,41070,Education,Mature Small Business (25-100),Other,,Recommender,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,None / Unemployed,Java,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,,Mac OS X,I enjoy going to work,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,,2000,Stack Overflow,
Other Europe,,30-34,11,Web Services,Start Up (1-25),Database Administrator,,Recommender,,,,,,,Servers,Software,,,,"<$10,000",Web Platform,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,"<$20,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,$251-$500,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,,200,Stack Overflow,
United States of America,Minnesota,20-24,40944,Web Services,Student,Student,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,CSS,PHP,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Student / Unemployed,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,Kindle,,,,,,,,,,,,,iPod Touch,$251-$500,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,,Don't have an account,Stack Overflow,
United States of America,Florida,30-34,40944,Other,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,Python,,,SQL,,,,,HTML5,,,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,I don't need ad blocker because I don't pay attention to them.,Don't have an account,Other Stack Exchange (please specify),gis.stackexchange.com
United States of America,Maryland,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Don't have an account,Stack Overflow,
United States of America,Colorado,20-24,40944,Manufacturing,Mature Small Business (25-100),IT Staff / System Administrator,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Don't know,Web Platform,,,,,Python,,,,,C++,,,,,,Linux,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Other (please specify),Not enough job listings in my area to be worth it.,,Android,,,,,,,,,,,PS3,,,,,,,,$100-$250,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,,50,Stack Overflow,
United States of America,Colorado,40-50,11,Finance / Banking,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,CSS,PHP,Python,,,SQL,,,,Perl,,,,Windows 7,Hate my job,"$60,000 - $80,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,,PS3,,,,,,,,"$501-$1,000",Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,,500,Programmers Stack Exchange,
Canada,,20-24,<2,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,,,,,Ruby,,,C++,,,,,,Linux,I enjoy going to work,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Disagree,Agree,Strongly Disagree,N/A,200,Stack Overflow,
United States of America,Ohio,30-34,41070,Retail,Mid Sized (100-999),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,,,,,,Software,,Consultants,,"$25,001 - $40,000",Enterprise,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Mac OS X,I'm not happy in my job,"$80,000 - $100,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,,Wii,,,iPad,,,">$3,000",,Neutral,Neutral,Neutral,Neutral,Disagree,,Don't have an account,Stack Overflow,
Netherlands,,30-34,11,Web Services,Start Up (1-25),Server Programmer,,Recommender,Approver,,,,,Hardware,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,,C,Perl,HTML5,,,Windows Vista,I enjoy going to work,"$60,000 - $80,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,Other media streaming device,Netbook,PS3,,Wii,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
Russia,,25-29,11,Finance / Banking,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,,Approver,,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$41,000 - $75,000",SaaS,Java,,,,,,,SQL,,,C,,,,scala r,Windows 7,Love my job,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,Kindle,,,,Other media streaming device,,,,,,,,Other tablet,,$251-$500,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,,500,Other Stack Exchange (please specify),quant
United States of America,Massachusetts,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",Web Platform,,JavaScript,CSS,,,,,,,C++,,,HTML5,,Actionscript,Mac OS X,I enjoy going to work,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,,,AppleTV,,,,,,,,,iPad,,,$251-$500,Agree,Agree,Agree,Agree,Neutral,Neutral,,50,Stack Overflow,
United States of America,California,51-60,40944,Advertising,Start Up (1-25),Web Application Developer,,,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,,,,,,,SQL,,,,,HTML5,,CFML,Windows Vista,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Didn't know about Careers before you asked,,iPhone,,,,,,,,,,,,,,,,,iPad,,,$100-$250,Agree,Agree,Agree,Agree,Neutral,Neutral,I forgot already,Don't have an account,Stack Overflow,
United States of America,New Jersey,35-39,11,Advertising,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,Software,,Consultants,,"<$10,000",Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$100,000 - $120,000",Yes,Yes,,,iPhone,,,,,,Kindle,,,,,Netbook,,,,,,,,Roku,$251-$500,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,,2000,Stack Overflow,
United States of America,California,20-24,41070,Web Services,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,Consultants,,Don't know,SaaS,,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,,Mac OS X,Love my job,,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,Xbox,,,,,,,"$2,001-$3,000",Agree,Neutral,Neutral,Agree,Disagree,Agree,,200,Stack Overflow,
